entry_time,exit_time,side,entry_price,exit_price,pnl,reason
2025-12-08 00:25:00,2025-12-08 01:25:00,long,90249.99,90834.41928624362,145.90753311073487,Take Profit
2025-12-08 12:00:00,2025-12-08 13:10:00,short,91838.31,91983.71898994391,-49.01697202623063,Stop Loss
2025-12-08 18:20:00,2025-12-08 18:25:00,long,90456.17,90121.98651381035,-99.91815216989126,Stop Loss
2025-12-09 07:00:00,2025-12-09 07:35:00,long,90095.07,90451.75047586163,84.89213263991878,Take Profit
2025-12-09 09:35:00,2025-12-09 10:35:00,short,90176.01,90325.25253627518,-49.830804639178204,Stop Loss
2025-12-09 13:50:00,2025-12-09 14:00:00,short,90367.29,90562.48634698933,-61.31546065608476,Stop Loss
2025-12-10 09:50:00,2025-12-10 10:00:00,long,92905.91,93158.28288032964,54.6155935251615,Take Profit
2025-12-10 10:35:00,2025-12-10 11:40:00,short,92366.85,91982.96072730386,89.4897297387698,Take Profit
2025-12-10 21:05:00,2025-12-11 01:15:00,short,92048.92,90821.55310951479,156.65003684669136,Take Profit
2025-12-11 04:55:00,2025-12-11 05:10:00,long,90436.55,90179.4040741816,-80.96947586174493,Stop Loss
2025-12-11 15:20:00,2025-12-11 15:25:00,long,90593.65,90190.09407167275,-106.84119313746879,Stop Loss
2025-12-12 10:00:00,2025-12-12 11:00:00,long,92543.23,92375.3514544066,-52.98760646092113,Stop Loss
2025-12-13 22:20:00,2025-12-13 22:35:00,short,90080.1,90183.52559866739,-36.58965073232462,Stop Loss
2025-12-15 00:25:00,2025-12-15 00:35:00,long,88541.96,88242.45740511922,-88.47074190823888,Stop Loss
2025-12-15 19:35:00,2025-12-15 20:10:00,long,86270.23,85865.15743807258,-99.40169619111073,Stop Loss
2025-12-15 21:45:00,2025-12-16 01:00:00,long,86099.45,85805.56231034647,-85.28180593378202,Stop Loss
2025-12-16 02:40:00,2025-12-16 02:50:00,long,86130.18,85923.07001942923,-61.40243068685767,Stop Loss
2025-12-16 05:15:00,2025-12-16 06:20:00,long,85991.84,86346.22022870807,80.15416756664247,Take Profit
2025-12-16 07:45:00,2025-12-16 08:25:00,short,86047.32,86240.61673410962,-57.99627684309641,Stop Loss
2025-12-16 08:40:00,2025-12-16 10:35:00,long,86280.0,86613.6829115353,74.77294705279708,Take Profit
2025-12-17 16:05:00,2025-12-17 16:20:00,short,87611.63,86328.29220215547,142.1015988036143,Take Profit
2025-12-18 16:25:00,2025-12-18 17:05:00,short,88100.01,87234.17658442653,144.56403009032738,Take Profit
2025-12-18 21:50:00,2025-12-19 01:30:00,long,85572.1,85130.67482645246,-100.3351942277754,Stop Loss
2025-12-19 12:25:00,2025-12-19 14:15:00,short,88017.23,88238.13135180857,-66.21846050502536,Stop Loss
2025-12-19 19:35:00,2025-12-20 05:40:00,long,87932.01,88518.22753331353,140.14447115856268,Take Profit
2025-12-20 08:20:00,2025-12-20 08:50:00,long,88376.5,88296.8275681461,-29.96416056253627,Stop Loss
2025-12-20 09:05:00,2025-12-20 09:20:00,short,88264.1,88338.20625834419,-28.311491370554872,Stop Loss
2025-12-20 14:50:00,2025-12-20 15:15:00,long,88275.91,88165.44263504868,-37.38576004923935,Stop Loss
2025-12-20 21:55:00,2025-12-20 22:35:00,short,88208.73,88261.72583140724,-22.43696766593569,Stop Loss
2025-12-20 22:55:00,2025-12-20 23:50:00,long,88279.35,88383.44725010385,17.33142582780274,Take Profit
2025-12-21 04:20:00,2025-12-21 08:25:00,long,88110.65,88240.1323789428,23.83638892988217,Take Profit
2025-12-21 11:40:00,2025-12-21 12:05:00,short,88605.98,88735.8196260371,-41.74747601250004,Stop Loss
2025-12-21 12:55:00,2025-12-21 13:00:00,short,88638.01,88406.25572170796,49.010144276793696,Take Profit
2025-12-21 16:20:00,2025-12-21 18:05:00,long,88281.09,88078.67385525696,-60.08600389942445,Stop Loss
2025-12-21 18:10:00,2025-12-21 18:30:00,short,87986.61,88133.38483535568,-45.46352500008161,Stop Loss
2025-12-21 18:50:00,2025-12-21 19:30:00,long,88347.63,88206.16409400773,-43.42174061397697,Stop Loss
2025-12-21 22:30:00,2025-12-21 23:00:00,long,88366.02,88565.68135589873,39.85501479994111,Take Profit
2025-12-22 02:00:00,2025-12-22 02:05:00,short,88477.94,87961.7171873022,117.43636433688582,Take Profit
2025-12-22 03:35:00,2025-12-22 07:05:00,long,88637.72,89084.94597697693,102.82726824044448,Take Profit
2025-12-22 13:45:00,2025-12-22 14:15:00,short,89919.84,90141.43053549781,-64.79597237047162,Stop Loss
2025-12-22 14:20:00,2025-12-22 14:30:00,short,89968.3,90189.14911177351,-63.525151117046335,Stop Loss
2025-12-22 14:50:00,2025-12-22 15:10:00,long,90267.5,89896.06310044465,-96.00466486508031,Stop Loss
2025-12-22 16:25:00,2025-12-22 16:30:00,long,90084.06,89689.75968846367,-93.21454121864629,Stop Loss
2025-12-23 01:35:00,2025-12-23 02:05:00,short,88456.34,88621.76576678807,-47.359471856593544,Stop Loss
2025-12-23 08:30:00,2025-12-23 08:45:00,long,87651.52,87496.9890556133,-44.49284185969627,Stop Loss
2025-12-23 16:00:00,2025-12-23 16:10:00,long,88086.14,87689.77289849703,-88.44191247965381,Stop Loss
2025-12-23 17:55:00,2025-12-23 18:05:00,short,87180.01,87512.36057231252,-83.57819034453088,Stop Loss
2026-01-02 14:55:00,2026-01-02 15:05:00,long,89580.0,89189.96510039302,-84.59770334862598,Stop Loss
2026-01-02 23:30:00,2026-01-03 00:05:00,short,89933.96,90077.00909036113,-37.67111609873014,Stop Loss
2026-01-03 04:35:00,2026-01-03 05:35:00,short,90123.76,89961.91126202747,26.105000967258555,Take Profit
2026-01-03 09:30:00,2026-01-03 09:55:00,long,89956.25,89806.97561581366,-38.6743691349805,Stop Loss
2026-01-04 06:55:00,2026-01-04 07:35:00,short,91237.55,91388.53633630901,-38.13927069656362,Stop Loss
2026-01-06 15:40:00,2026-01-06 16:25:00,short,93497.95,92854.92887413783,115.12043398334353,Take Profit
2026-01-06 20:10:00,2026-01-06 21:10:00,long,92424.97,92840.17853903859,77.17595440203952,Take Profit
2026-01-08 15:05:00,2026-01-08 17:00:00,long,90325.48,90944.89292741226,120.57584709264597,Take Profit
2026-01-08 21:15:00,2026-01-08 22:10:00,long,91085.0,91408.68830619536,62.35316768428474,Take Profit
2026-01-09 15:25:00,2026-01-09 15:40:00,long,91680.59,91234.74614574247,-86.77584098592087,Stop Loss
